pp,ap,mp,kp1,kp2
1,12,189,135,0
1,11,32,0,0
1,12,32,135,0
1,18,189,135,0
1,18,32,135,0
1,18,57,0,0
2,19,189,135,0
2,19,32,135,0
2,19,57,0,0
2,11,125,0,0
2,12,125,135,0
2,16,57,131,0
2,16,54,131,0
2,16,186,131,0
2,16,189,131,0
2,18,125,135,0
2,18,54,0,0
2,18,57,131,0
2,18,54,131,0
2,18,186,131,0
2,18,189,131,0
1,19,125,135,0
1,19,54,0,0
1,19,57,131,0
1,19,54,131,0
1,19,186,131,0
1,19,189,131,0
1,13,125,138,0
1,13,57,131,0
1,13,54,131,0
1,13,186,131,0
1,13,189,131,0
1,16,54,131,0
1,16,57,131,0
1,16,189,131,0
1,16,186,131,0
1,18,54,131,0
1,18,57,131,0
1,18,189,131,0
1,18,186,131,0
2,19,54,131,0
2,19,57,131,0
2,19,189,131,0
2,19,186,131,0
2,13,54,131,0
2,13,57,131,0
2,13,189,131,0
2,13,186,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
