,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,ID_A,
3,A,send,N_A,
4,A,send,N_A^',
5,B,receive,ID_A,
6,B,receive,N_A,
7,B,receive,N_A^',
8,B,new,N_B,
9,B,encrypt,ID_A,K_BS
10,B,encrypt,N_A,K_BS
11,B,new,N_B^',
12,B,send,ID_B,
13,B,send,N_B,
14,B,send,ID_A,K_BS
15,B,send,N_A,K_BS
16,B,send,N_B^',
17,S,receive,ID_B,
18,S,receive,N_B,
19,S,receive,ID_A,K_BS
20,S,receive,N_A,K_BS
21,S,receive,N_B^',
22,S,decrypt,ID_A,K_BS
23,S,decrypt,N_A,K_BS
24,S,encrypt,ID_B,K_AS
25,S,encrypt,K_AB,K_AS
26,S,encrypt,N_A,K_AS
27,S,encrypt,N_B,K_AS
28,S,encrypt,ID_A,K_BS
29,S,encrypt,K_AB,K_BS
30,S,encrypt,N_B,K_BS
31,S,send,ID_B,K_AS
32,S,send,K_AB,K_AS
33,S,send,N_A,K_AS
34,S,send,N_B,K_AS
35,S,send,ID_A,K_BS
36,S,send,K_AB,K_BS
37,S,send,N_B,K_BS
38,A,receive,ID_B,K_AS
39,A,receive,K_AB,K_AS
40,A,receive,N_A,K_AS
41,A,receive,N_B,K_AS
42,A,receive,ID_A,K_BS
43,A,receive,K_AB,K_BS
44,A,receive,N_B,K_BS
45,A,decrypt,ID_B,K_AS
46,A,decrypt,K_AB,K_AS
47,A,decrypt,N_A,K_AS
48,A,decrypt,N_B,K_AS
49,A,encrypt,ID_A,K_BS
50,A,encrypt,K_AB,K_BS
51,A,encrypt,N_B,K_BS
52,A,new,N_B,
53,A,send,ID_A,K_BS
54,A,send,K_AB,K_BS
55,A,send,N_B,K_BS
56,A,send,N_B,
57,B,receive,ID_A,K_BS
58,B,receive,K_AB,K_BS
59,B,receive,N_B,K_BS
60,B,receive,N_B,
61,B,decrypt,ID_A,K_BS
62,B,decrypt,K_AB,K_BS
63,B,decrypt,N_B,K_BS
