pp,ap,mp,kp
A,send,ID_A, 
B,receive,ID_A, 
B,new,N_B, 
B,send,N_B, 
A,receive,N_B, 
A,encrypt,ID_A,K_AS
A,encrypt,N_B,K_AS
A,send,ID_A,K_AS
A,send,N_B,K_AS
B,receive,ID_A,K_AS
B,receive,N_B,K_AS
B,encrypt,ID_A,K_AS
B,encrypt,N_B,K_AS
B,send,ID_A, 
B,send,ID_A,K_AS
B,send,N_B,K_AS
S,receive,ID_A, 
S,receive,ID_A,K_AS
S,receive,N_B,K_AS
S,decrypt,ID_A,K_AS
S,decrypt,N_B,K_AS
S,encrypt,ID_A,K_BS
S,encrypt,N_B,K_BS
S,send,ID_A,K_BS
S,send,N_B,K_BS
B,receive,ID_A,K_BS
B,receive,N_B,K_BS
B,decrypt,ID_A,K_BS
B,decrypt,N_B,K_BS
