pp,ap,mp,kp
A,new,T_A, 
A,encrypt,T_A,K_AS
A,encrypt,ID_B,K_AS
A,encrypt,K_AB,K_AS
A,send,ID_A, 
A,send,T_A,K_AS
A,send,ID_B,K_AS
A,send,K_AB,K_AS
S,receive,ID_A, 
S,receive,T_A,K_AS
S,receive,ID_B,K_AS
S,receive,K_AB,K_AS
S,decrypt,T_A,K_AS
S,decrypt,ID_B,K_AS
S,decrypt,K_AB,K_AS
S,new,T_B, 
S,encrypt,T_B,K_BS
S,encrypt,T_A,K_BS
S,encrypt,ID_A,K_BS
S,encrypt,ID_B,K_BS
S,encrypt,K_AB,K_BS
S,send,T_B,K_BS
S,send,T_A,K_BS
S,send,ID_A,K_BS
S,send,ID_B,K_BS
S,send,K_AB,K_BS
B,receive,T_B,K_BS
B,receive,T_A,K_BS
B,receive,ID_A,K_BS
B,receive,ID_B,K_BS
B,receive,K_AB,K_BS
B,decrypt,T_B,K_BS
B,decrypt,T_A,K_BS
B,decrypt,ID_A,K_BS
B,decrypt,ID_B,K_BS
B,decrypt,K_AB,K_BS
B,encrypt,T_A,K_AB
B,new,N_B, 
B,encrypt,N_B,K_AB
B,send,T_A,K_AB
B,send,N_B,K_AB
A,receive,T_A,K_AB
A,receive,N_B,K_AB
A,decrypt,T_A,K_AB
A,decrypt,N_B,K_AB
A,encrypt,N_B+1,K_AB
A,send,N_B+1,K_AB
B,receive,N_B+1,K_AB
B,decrypt,N_B+1,K_AB
