,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,ID_A,
3,A,send,N_A,
4,A,send,N_A^',
5,B,receive,ID_A,
6,B,receive,N_A,
7,B,receive,N_A^',
8,B,encrypt,ID_A,K_BS
9,B,encrypt,N_A,K_BS
10,B,new,N_B,
11,B,encrypt,N_B,K_BS
12,B,new,N_B^',
13,B,send,ID_B,
14,B,send,ID_A,K_BS
15,B,send,N_A,K_BS
16,B,send,N_B,K_BS
17,B,send,N_B^',
18,S,receive,ID_B,
19,S,receive,ID_A,K_BS
20,S,receive,N_A,K_BS
21,S,receive,N_B,K_BS
22,S,receive,N_B^',
23,S,decrypt,ID_A,K_BS
24,S,decrypt,N_A,K_BS
25,S,decrypt,N_B,K_BS
26,S,encrypt,ID_B,K_AS
27,S,encrypt,K_AB,K_AS
28,S,encrypt,N_A,K_AS
29,S,encrypt,N_B,K_AS
30,S,encrypt,ID_A,K_BS
31,S,encrypt,K_AB,K_BS
32,S,encrypt,N_B,K_BS
33,S,send,ID_B,K_AS
34,S,send,K_AB,K_AS
35,S,send,N_A,K_AS
36,S,send,N_B,K_AS
37,S,send,ID_A,K_BS
38,S,send,K_AB,K_BS
39,S,send,N_B,K_BS
40,A,receive,ID_B,K_AS
41,A,receive,K_AB,K_AS
42,A,receive,N_A,K_AS
43,A,receive,N_B,K_AS
44,A,receive,ID_A,K_BS
45,A,receive,K_AB,K_BS
46,A,receive,N_B,K_BS
47,A,decrypt,ID_B,K_AS
48,A,decrypt,K_AB,K_AS
49,A,decrypt,N_A,K_AS
50,A,decrypt,N_B,K_AS
51,A,encrypt,ID_A,K_BS
52,A,encrypt,K_AB,K_BS
53,A,encrypt,N_B,K_BS
54,A,new,N_B,
55,A,send,ID_A,K_BS
56,A,send,K_AB,K_BS
57,A,send,N_B,K_BS
58,A,send,N_B,
59,B,receive,ID_A,K_BS
60,B,receive,K_AB,K_BS
61,B,receive,N_B,K_BS
62,B,receive,N_B,
63,B,decrypt,ID_A,K_BS
64,B,decrypt,K_AB,K_BS
65,B,decrypt,N_B,K_BS
