pp,ap,mp,kp
A,new,N_A, 
A,encrypt,N_A,K_AS
A,send,ID_A, 
A,send,N_A,K_AS
B,receive,ID_A, 
B,receive,N_A,K_AS
B,encrypt,N_A,K_AS
B,new,N_B, 
B,encrypt,N_B,K_BS
B,send,ID_A, 
B,send,N_A,K_AS
B,send,ID_B, 
B,send,N_B,K_BS
S,receive,ID_A, 
S,receive,N_A,K_AS
S,receive,ID_B, 
S,receive,N_B,K_BS
S,decrypt,N_A,K_AS
S,decrypt,N_B,K_BS
S,encrypt,K_AB,K_BS
S,encrypt,ID_A,K_BS
S,encrypt,N_B,K_BS
S,encrypt,K_AB,K_AS
S,encrypt,ID_B,K_AS
S,encrypt,N_A,K_AS
S,send,K_AB,K_BS
S,send,ID_A,K_BS
S,send,N_B,K_BS
S,send,K_AB,K_AS
S,send,ID_B,K_AS
S,send,N_A,K_AS
B,receive,K_AB,K_BS
B,receive,ID_A,K_BS
B,receive,N_B,K_BS
B,receive,K_AB,K_AS
B,receive,ID_B,K_AS
B,receive,N_A,K_AS
B,decrypt,K_AB,K_BS
B,decrypt,ID_A,K_BS
B,decrypt,N_B,K_BS
B,encrypt,K_AB,K_AS
B,encrypt,ID_B,K_AS
B,encrypt,N_A,K_AS
B,send,K_AB,K_AS
B,send,ID_B,K_AS
B,send,N_A,K_AS
A,receive,K_AB,K_AS
A,receive,ID_B,K_AS
A,receive,N_A,K_AS
A,decrypt,K_AB,K_AS
A,decrypt,ID_B,K_AS
A,decrypt,N_A,K_AS
