pp,ap,mp,kp
A,new,T_A, 
A,encrypt,T_A,K_AB
A,encrypt,ID_B,K_AB
A,send,T_A,K_AB
A,send,ID_B,K_AB
B,receive,T_A,K_AB
B,receive,ID_B,K_AB
B,decrypt,T_A,K_AB
B,decrypt,ID_B,K_AB
B,new,T_B, 
B,encrypt,T_B,K_AB
B,encrypt,ID_A,K_AB
B,send,T_B,K_AB
B,send,ID_A,K_AB
A,receive,T_B,K_AB
A,receive,ID_A,K_AB
A,decrypt,T_B,K_AB
A,decrypt,ID_A,K_AB
