pp,ap,mp,kp
B,encrypt,ID_B,K_BS
B,encrypt,ID_S,K_BS
B,encrypt,ID_B,K_BS
B,encrypt,a^y,K_BS
B,encrypt,ID_A,K_BS
B,new,T_B, 
B,encrypt,T_B,K_BS
B,send,ID_A, 
B,send,ID_B, 
B,send,ID_B,K_BS
B,send,ID_S,K_BS
B,send,ID_B,K_BS
B,send,a^y,K_BS
B,send,ID_A,K_BS
B,send,T_B,K_BS
S,receive,ID_A, 
S,receive,ID_B, 
S,receive,ID_B,K_BS
S,receive,ID_S,K_BS
S,receive,ID_B,K_BS
S,receive,a^y,K_BS
S,receive,ID_A,K_BS
S,receive,T_B,K_BS
S,decrypt,ID_B,K_BS
S,decrypt,ID_S,K_BS
S,decrypt,ID_B,K_BS
S,decrypt,a^y,K_BS
S,decrypt,ID_A,K_BS
S,decrypt,T_B,K_BS
S,encrypt,ID_S,K_AS
S,encrypt,ID_A,K_AS
S,encrypt,ID_B,K_AS
S,encrypt,a^y,K_AS
S,encrypt,ID_A,K_AS
S,new,T_S, 
S,encrypt,T_S,K_AS
S,send,ID_S,K_AS
S,send,ID_A,K_AS
S,send,ID_B,K_AS
S,send,a^y,K_AS
S,send,ID_A,K_AS
S,send,T_S,K_AS
A,receive,ID_S,K_AS
A,receive,ID_A,K_AS
A,receive,ID_B,K_AS
A,receive,a^y,K_AS
A,receive,ID_A,K_AS
A,receive,T_S,K_AS
A,decrypt,ID_S,K_AS
A,decrypt,ID_A,K_AS
A,decrypt,ID_B,K_AS
A,decrypt,a^y,K_AS
A,decrypt,ID_A,K_AS
A,decrypt,T_S,K_AS
A,encrypt,ID_A,K_AS
A,encrypt,ID_S,K_AS
A,encrypt,ID_A,K_AS
A,encrypt,a^x,K_AS
A,encrypt,ID_B,K_AS
A,new,T_A, 
A,encrypt,T_A,K_AS
A,encrypt,ID_A,K_AB
A,encrypt,ID_B,K_AB
A,encrypt,T_A,K_AB
A,send,ID_A,K_AS
A,send,ID_S,K_AS
A,send,ID_A,K_AS
A,send,a^x,K_AS
A,send,ID_B,K_AS
A,send,T_A,K_AS
A,send,ID_A,K_AB
A,send,ID_B,K_AB
A,send,T_A,K_AB
S,receive,ID_A,K_AS
S,receive,ID_S,K_AS
S,receive,ID_A,K_AS
S,receive,a^x,K_AS
S,receive,ID_B,K_AS
S,receive,T_A,K_AS
S,receive,ID_A,K_AB
S,receive,ID_B,K_AB
S,receive,T_A,K_AB
S,decrypt,ID_A,K_AS
S,decrypt,ID_S,K_AS
S,decrypt,ID_A,K_AS
S,decrypt,a^x,K_AS
S,decrypt,ID_B,K_AS
S,decrypt,T_A,K_AS
S,encrypt,ID_S,K_BS
S,encrypt,ID_B,K_BS
S,encrypt,ID_A,K_BS
S,encrypt,a^x,K_BS
S,encrypt,ID_B,K_BS
S,encrypt,T_S,K_BS
S,encrypt,ID_A,K_AB
S,encrypt,ID_B,K_AB
S,encrypt,T_A,K_AB
S,send,ID_S,K_BS
S,send,ID_B,K_BS
S,send,ID_A,K_BS
S,send,a^x,K_BS
S,send,ID_B,K_BS
S,send,T_S,K_BS
S,send,ID_A,K_AB
S,send,ID_B,K_AB
S,send,T_A,K_AB
B,receive,ID_S,K_BS
B,receive,ID_B,K_BS
B,receive,ID_A,K_BS
B,receive,a^x,K_BS
B,receive,ID_B,K_BS
B,receive,T_S,K_BS
B,receive,ID_A,K_AB
B,receive,ID_B,K_AB
B,receive,T_A,K_AB
B,decrypt,ID_S,K_BS
B,decrypt,ID_B,K_BS
B,decrypt,ID_A,K_BS
B,decrypt,a^x,K_BS
B,decrypt,ID_B,K_BS
B,decrypt,T_S,K_BS
B,decrypt,ID_A,K_AB
B,decrypt,ID_B,K_AB
B,decrypt,T_A,K_AB
B,encrypt,ID_B,K_AB
B,encrypt,ID_A,K_AB
B,encrypt,T_B,K_AB
B,send,ID_B,K_AB
B,send,ID_A,K_AB
B,send,T_B,K_AB
A,receive,ID_B,K_AB
A,receive,ID_A,K_AB
A,receive,T_B,K_AB
A,decrypt,ID_B,K_AB
A,decrypt,ID_A,K_AB
A,decrypt,T_B,K_AB
