pp,ap,mp,kp1,kp2
1,18,111,0,0
1,18,112,0,0
1,18,154,0,0
2,19,111,0,0
2,19,112,0,0
2,19,154,0,0
2,12,111,134,0
2,12,112,134,0
2,12,155,134,0
2,12,111,131,0
2,12,154,131,0
2,12,155,131,0
2,18,111,134,0
2,18,112,134,0
2,18,155,134,0
2,18,111,131,0
2,18,154,131,0
2,18,155,131,0
3,19,111,134,0
3,19,112,134,0
3,19,155,134,0
3,19,111,131,0
3,19,154,131,0
3,19,155,131,0
3,13,111,134,0
3,13,112,134,0
3,13,155,134,0
3,12,111,133,0
3,12,112,133,0
3,12,155,133,0
3,12,111,131,0
3,12,154,131,0
3,12,155,131,0
3,18,111,133,0
3,18,112,133,0
3,18,155,133,0
3,18,111,131,0
3,18,154,131,0
3,18,155,131,0
1,19,111,133,0
1,19,112,133,0
1,19,155,133,0
1,19,111,131,0
1,19,154,131,0
1,19,155,131,0
1,13,111,133,0
1,13,112,133,0
1,13,155,133,0
1,13,111,131,0
1,13,154,131,0
1,13,155,131,0
1,12,112,131,0
1,12,154,131,0
1,12,155,131,0
1,18,112,131,0
1,18,154,131,0
1,18,155,131,0
2,19,112,131,0
2,19,154,131,0
2,19,155,131,0
2,13,112,131,0
2,13,154,131,0
2,13,155,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
