pp,ap,mp,kp1,kp2
1,11,127,0,0
1,12,111,136,0
1,12,112,136,0
1,11,124,0,0
1,12,124,136,0
1,18,127,0,0
1,18,154,0,0
1,18,136,0,0
1,18,111,136,0
1,18,112,136,0
1,18,124,136,0
2,19,127,0,0
2,19,154,0,0
2,19,136,0,0
2,19,111,136,0
2,19,112,136,0
2,19,124,136,0
2,13,111,139,0
2,13,112,139,0
2,13,124,139,0
2,11,128,0,0
2,12,112,135,0
2,12,111,135,0
2,11,125,0,0
2,12,125,135,0
2,16,112,131,0
2,16,111,131,0
2,16,155,131,0
2,16,154,131,0
2,18,128,0,0
2,18,127,0,0
2,18,155,0,0
2,18,112,135,0
2,18,111,135,0
2,18,125,135,0
2,18,112,131,0
2,18,111,131,0
2,18,155,131,0
2,18,154,131,0
1,19,128,0,0
1,19,127,0,0
1,19,155,0,0
1,19,112,135,0
1,19,111,135,0
1,19,125,135,0
1,19,112,131,0
1,19,111,131,0
1,19,155,131,0
1,19,154,131,0
1,13,112,138,0
1,13,111,138,0
1,13,125,138,0
1,13,112,131,0
1,13,111,131,0
1,13,155,131,0
1,13,154,131,0
1,16,111,131,0
1,16,112,131,0
1,16,154,131,0
1,16,155,131,0
1,18,127,0,0
1,18,128,0,0
1,18,111,131,0
1,18,112,131,0
1,18,154,131,0
1,18,155,131,0
2,19,127,0,0
2,19,128,0,0
2,19,111,131,0
2,19,112,131,0
2,19,154,131,0
2,19,155,131,0
2,13,111,131,0
2,13,112,131,0
2,13,154,131,0
2,13,155,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
