pp,ap,mp,kp1,kp2
1,11,124,0,0
1,18,124,0,0
1,18,111,0,0
2,19,124,0,0
2,19,111,0,0
2,11,125,0,0
2,18,124,0,0
2,18,111,0,0
2,18,125,0,0
2,18,112,0,0
3,19,124,0,0
3,19,111,0,0
3,19,125,0,0
3,19,112,0,0
3,12,125,134,0
3,12,111,134,0
3,12,112,134,0
3,12,131,134,0
3,12,124,133,0
3,12,111,133,0
3,12,112,133,0
3,12,131,133,0
3,18,125,134,0
3,18,111,134,0
3,18,112,134,0
3,18,131,134,0
3,18,124,133,0
3,18,111,133,0
3,18,112,133,0
3,18,131,133,0
2,19,125,134,0
2,19,111,134,0
2,19,112,134,0
2,19,131,134,0
2,19,124,133,0
2,19,111,133,0
2,19,112,133,0
2,19,131,133,0
2,13,125,134,0
2,13,111,134,0
2,13,112,134,0
2,13,131,134,0
2,12,124,133,0
2,12,111,133,0
2,12,112,133,0
2,12,131,133,0
2,12,124,131,0
2,11,128,0,0
2,12,128,131,0
2,18,124,133,0
2,18,111,133,0
2,18,112,133,0
2,18,131,133,0
2,18,124,131,0
2,18,128,131,0
1,19,124,133,0
1,19,111,133,0
1,19,112,133,0
1,19,131,133,0
1,19,124,131,0
1,19,128,131,0
1,13,124,133,0
1,13,111,133,0
1,13,112,133,0
1,13,131,133,0
1,13,124,131,0
1,13,128,131,0
1,12,162,131,0
1,18,162,131,0
2,19,162,131,0
2,13,162,131,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
